time_s,duty_permille,duty_ratio,encoder_count,delta_count,rpm,rad_per_second,sample_time_s,host_time_s
7,600,0.6,62244,-24,-184.615,-19.332,0.0499999999999998,8.6036481
7.05,600,0.6,62220,-24,-184.615,-19.332,0.0500000000000007,8.616378
7.1,600,0.6,62197,-23,-176.923,-18.527,0.0499999999999998,8.6933489
7.15,600,0.6,62174,-23,-176.923,-18.527,0.0499999999999998,8.7197213
7.2,600,0.6,62150,-24,-184.615,-19.332,0.0499999999999998,8.7799103
7.25,600,0.6,62126,-24,-184.615,-19.332,0.0499999999999998,8.8294303
7.3,600,0.6,62102,-24,-184.615,-19.332,0.0500000000000007,8.8754183
7.35,600,0.6,62079,-23,-176.923,-18.527,0.0499999999999998,8.9593447
7.4,600,0.6,62056,-23,-176.923,-18.527,0.0499999999999998,8.9655314
7.45,600,0.6,62032,-24,-184.615,-19.332,0.0499999999999998,9.0493284
7.5,600,0.6,62008,-24,-184.615,-19.332,0.0499999999999998,9.0752752
7.55,600,0.6,61985,-23,-176.923,-18.527,0.0500000000000007,9.135618
7.6,600,0.6,61961,-24,-184.615,-19.332,0.0499999999999998,9.1702738
7.65,600,0.6,61937,-24,-184.615,-19.332,0.0499999999999998,9.2240005
7.7,600,0.6,61914,-23,-176.923,-18.527,0.0499999999999998,9.3102012
7.75,600,0.6,61890,-24,-184.615,-19.332,0.0499999999999998,9.3256594
7.8,600,0.6,61866,-24,-184.615,-19.332,0.0500000000000007,9.399238
7.85,600,0.6,61842,-24,-184.615,-19.332,0.0499999999999998,9.4222856
7.9,600,0.6,61818,-24,-184.615,-19.332,0.0499999999999998,9.4956816
7.95,600,0.6,61795,-23,-176.923,-18.527,0.0499999999999998,9.5166069
8,600,0.6,61771,-24,-184.615,-19.332,0.0499999999999998,9.5936347
8.05,600,0.6,61748,-23,-176.923,-18.527,0.0499999999999989,9.6198033
8.1,600,0.6,61724,-24,-184.615,-19.332,0.0500000000000007,9.7114158
8.15,600,0.6,61700,-24,-184.615,-19.332,0.0499999999999989,9.7150924
8.2,600,0.6,61677,-23,-176.923,-18.527,0.0500000000000007,9.7957612
8.25,600,0.6,61653,-24,-184.615,-19.332,0.0500000000000007,9.8249278
8.3,600,0.6,61630,-23,-176.923,-18.527,0.0499999999999989,9.889983
8.35,600,0.6,61606,-24,-184.615,-19.332,0.0500000000000007,9.9255578
8.4,600,0.6,61582,-24,-184.615,-19.332,0.0499999999999989,9.983597
8.45,600,0.6,61559,-23,-176.923,-18.527,0.0500000000000007,10.0170996
8.5,600,0.6,61535,-24,-184.615,-19.332,0.0500000000000007,10.0688266
8.55,600,0.6,61511,-24,-184.615,-19.332,0.0499999999999989,10.1149829
8.6,600,0.6,61487,-24,-184.615,-19.332,0.0500000000000007,10.1694562
8.65,600,0.6,61464,-23,-176.923,-18.527,0.0500000000000007,10.2509647
8.7,600,0.6,61440,-24,-184.615,-19.332,0.0499999999999989,10.2777413
8.75,600,0.6,61416,-24,-184.615,-19.332,0.0500000000000007,10.340504
8.8,600,0.6,61392,-24,-184.615,-19.332,0.0499999999999989,10.3672507
8.85,600,0.6,61369,-23,-176.923,-18.527,0.0500000000000007,10.4294423
8.9,600,0.6,61346,-23,-176.923,-18.527,0.0500000000000007,10.4784397
8.95,600,0.6,61322,-24,-184.615,-19.332,0.0499999999999989,10.5253022
9,600,0.6,61298,-24,-184.615,-19.332,0.0500000000000007,10.6080779
9.05,600,0.6,61274,-24,-184.615,-19.332,0.0499999999999989,10.6184539
9.1,600,0.6,61251,-23,-176.923,-18.527,0.0500000000000007,10.6973057
9.15,600,0.6,61227,-24,-184.615,-19.332,0.0500000000000007,10.7218892
9.2,600,0.6,61204,-23,-176.923,-18.527,0.0499999999999989,10.7913889
9.25,600,0.6,61180,-24,-184.615,-19.332,0.0500000000000007,10.8169173
9.3,600,0.6,61156,-24,-184.615,-19.332,0.0499999999999989,10.8798748
9.35,600,0.6,61132,-24,-184.615,-19.332,0.0500000000000007,10.9270705
9.4,600,0.6,61108,-24,-184.615,-19.332,0.0500000000000007,10.9737613
9.45,600,0.6,61084,-24,-184.615,-19.332,0.0499999999999989,11.0203707
9.5,600,0.6,61061,-23,-176.923,-18.527,0.0500000000000007,11.0683398
9.55,600,0.6,61037,-24,-184.615,-19.332,0.0499999999999989,11.1452803
9.6,600,0.6,61014,-23,-176.923,-18.527,0.0500000000000007,11.1771636
9.65,600,0.6,60990,-24,-184.615,-19.332,0.0500000000000007,11.2332469
9.7,600,0.6,60966,-24,-184.615,-19.332,0.0499999999999989,11.2758796
9.75,600,0.6,60943,-23,-176.923,-18.527,0.0500000000000007,11.3242476
9.8,600,0.6,60919,-24,-184.615,-19.332,0.0499999999999989,11.3712205
9.85,600,0.6,60896,-23,-176.923,-18.527,0.0500000000000007,11.4188352
9.9,600,0.6,60872,-24,-184.615,-19.332,0.0500000000000007,11.4985589
9.95,600,0.6,60848,-24,-184.615,-19.332,0.0499999999999989,11.5166545
10,600,0.6,60824,-24,-184.615,-19.332,0.0500000000000007,11.5894782
10.05,600,0.6,60801,-23,-176.923,-18.527,0.0499999999999989,11.6265526
10.1,600,0.6,60777,-24,-184.615,-19.332,0.0500000000000007,11.6791325
10.15,600,0.6,60754,-23,-176.923,-18.527,0.0500000000000007,11.7182355
10.2,600,0.6,60730,-24,-184.615,-19.332,0.0499999999999989,11.7675618
10.25,600,0.6,60706,-24,-184.615,-19.332,0.0500000000000007,11.8538345
10.3,600,0.6,60682,-24,-184.615,-19.332,0.0499999999999989,11.8779193
10.35,600,0.6,60658,-24,-184.615,-19.332,0.0500000000000007,11.9461032
10.4,600,0.6,60634,-24,-184.615,-19.332,0.0500000000000007,11.9725989
10.45,600,0.6,60611,-23,-176.923,-18.527,0.0499999999999989,12.0326971
10.5,600,0.6,60587,-24,-184.615,-19.332,0.0500000000000007,12.0647644
10.55,600,0.6,60564,-23,-176.923,-18.527,0.0499999999999989,12.1264103
10.6,600,0.6,60540,-24,-184.615,-19.332,0.0500000000000007,12.2108635
10.65,600,0.6,60516,-24,-184.615,-19.332,0.0500000000000007,12.2193232
10.7,600,0.6,60493,-23,-176.923,-18.527,0.0499999999999989,12.3011062
